"","X","topic","term","beta"
"1",12411,1,"energi",0.0135421788746308
"2",5231,1,"oper",0.0130778687155899
"3",12981,1,"power",0.0127971538288296
"4",12381,1,"electr",0.0120172892955566
"5",6991,1,"servic",0.010234166943098
"6",3391,1,"generat",0.0101623072550787
"7",12501,1,"gas",0.0100857226887287
"8",1911,1,"cost",0.00965326651711544
"9",2061,1,"custom",0.00936834596942333
"10",8131,1,"util",0.00924923749809655
"11",1552,2,"compani",0.0188608156828222
"12",1072,2,"busi",0.0145433590297348
"13",10322,2,"invest",0.0144636738166677
"14",12752,2,"manag",0.0101015784070288
"15",7012,2,"share",0.00966361896859942
"16",6032,2,"properti",0.00932069727401531
"17",13242,2,"stock",0.00769431128246185
"18",13182,2,"secur",0.00741986963630112
"19",3342,2,"fund",0.00713308290614977
"20",5232,2,"oper",0.00693626491679054
"21",5963,3,"product",0.039368410264536
"22",1553,3,"compani",0.0323422987548305
"23",10513,3,"manufactur",0.0194759130573642
"24",4553,3,"market",0.0130742032959443
"25",2063,3,"custom",0.011972633602426
"26",6773,3,"sale",0.0118742931723916
"27",10523,3,"materi",0.00910805715970285
"28",3793,3,"industri",0.00872020151931996
"29",7603,3,"system",0.00859586870161613
"30",3733,3,"includ",0.0074702137541983
"31",5964,4,"product",0.0215404805380434
"32",2254,4,"develop",0.0122067567832889
"33",35364,4,"clinic",0.0108772960814082
"34",35574,4,"drug",0.0100589069290011
"35",554,4,"approv",0.0100250157552611
"36",35664,4,"fda",0.00914482968342412
"37",10764,4,"patent",0.00903479493924813
"38",41574,4,"patient",0.00858956309832606
"39",4554,4,"market",0.0079975307589113
"40",58554,4,"trial",0.00786102099636444
"41",1555,5,"compani",0.023076567383516
"42",5965,5,"product",0.0128654349145299
"43",11555,5,"store",0.0127378630309849
"44",5235,5,"oper",0.0118203275470865
"45",6775,5,"sale",0.0101397177482192
"46",4555,5,"market",0.0101244955450248
"47",18685,5,"brand",0.00919713928487197
"48",6555,5,"retail",0.00915532241958063
"49",3735,5,"includ",0.00806545195396953
"50",565,5,"approxim",0.00663344528520677
"51",6996,6,"servic",0.0288773226948434
"52",1556,6,"compani",0.0141652198440668
"53",4976,6,"network",0.0135685609786599
"54",5236,6,"oper",0.0122703131211888
"55",6066,6,"provid",0.0110047718065315
"56",4556,6,"market",0.00980351298096035
"57",1096,6,"cabl",0.00898428811062739
"58",7606,6,"system",0.00820339584685159
"59",4366,6,"local",0.00805709127056074
"60",5986,6,"program",0.00752630311319125
"61",5967,7,"product",0.0201393015231165
"62",2067,7,"custom",0.0177680478758651
"63",6997,7,"servic",0.0174584601412661
"64",4557,7,"market",0.0126822740680861
"65",23057,7,"technolog",0.012353713866506
"66",2257,7,"develop",0.0107639218253595
"67",7607,7,"system",0.0104288961462049
"68",1077,7,"busi",0.0101506686276283
"69",6067,7,"provid",0.00902803383910132
"70",22977,7,"solut",0.00897681347782432
"71",5238,8,"oper",0.0169936842453742
"72",12508,8,"gas",0.0126957785532664
"73",10668,8,"oil",0.0122389850895994
"74",5968,8,"product",0.0109006767531283
"75",1558,8,"compani",0.0087396940413405
"76",10648,8,"natur",0.00857214088776003
"77",6348,8,"regul",0.00740650721819031
"78",7308,8,"state",0.00664897849231634
"79",5958,8,"produc",0.0062102127555391
"80",6508,8,"requir",0.00599301506616742
"81",6999,9,"servic",0.0240872072677509
"82",1559,9,"compani",0.0162955664091826
"83",6069,9,"provid",0.0141015345730161
"84",7309,9,"state",0.0121359368346962
"85",5989,9,"program",0.0116987358671655
"86",12759,9,"manag",0.0100717216860728
"87",26119,9,"care",0.0100400464143123
"88",10169,9,"health",0.00993550070861088
"89",5239,9,"oper",0.00942268152058631
"90",3739,9,"includ",0.00820870076702666
"91",12090,10,"bank",0.034014586430118
"92",15990,10,"loan",0.0314012919987307
"93",1560,10,"compani",0.0161611328534674
"94",8920,10,"capit",0.0134385067802173
"95",3030,10,"feder",0.0108597513223483
"96",3850,10,"institut",0.0106816174436875
"97",6510,10,"requir",0.0104238910320751
"98",3120,10,"financi",0.0100030820143692
"99",13190,10,"secur",0.00864161232419954
"100",6190,10,"rate",0.00824892575082421
