"","X","topic","term","beta"
"1",18961,1,"product",0.0290366149392149
"2",75871,1,"technology",0.017907188227851
"3",33601,1,"manufacture",0.014213648424723
"4",24421,1,"system",0.0132991375288465
"5",6931,1,"design",0.0123348089187977
"6",14371,1,"market",0.0109852936086939
"7",6451,1,"customer",0.010261882410039
"8",32551,1,"high",0.0101166466401506
"9",1711,1,"application",0.0091394023264275
"10",35131,1,"process",0.00847169559123861
"11",18962,2,"product",0.0277671366127862
"12",69452,2,"software",0.0230452072606114
"13",6452,2,"customer",0.0177642177797444
"14",75632,2,"solution",0.0164773603209186
"15",1712,2,"application",0.0147345507797759
"16",75872,2,"technology",0.0145830324987932
"17",29912,2,"datum",0.0130247818401818
"18",24242,2,"support",0.0105543393500077
"19",24422,2,"system",0.010377341998179
"20",15692,2,"network",0.00990388332847436
"21",36993,3,"store",0.036117056157389
"22",61173,3,"brand",0.0142449490652875
"23",151083,3,"restaurant",0.0132889983433064
"24",21093,3,"retail",0.010531079090803
"25",14583,3,"merchandise",0.0102718622778631
"26",21753,3,"sale",0.0100264438626328
"27",6453,3,"customer",0.00928303389220365
"28",11763,3,"include",0.00762836183764312
"29",10203,3,"franchise",0.00707108827746959
"30",16503,3,"operate",0.00680846445274953
"31",3836554,4,"’",0.182896642543446
"32",3836584,4,"“",0.135009683685583
"33",3836614,4,"”",0.134945759134664
"34",3836644,4,"•",0.0326131596848284
"35",20734,4,"report",0.0278493265146538
"36",46984,4,"sec",0.0143362124814208
"37",11974,4,"information",0.0140924894389343
"38",11764,4,"include",0.0133446691349641
"39",10084,4,"form",0.0119311439180346
"40",23434,4,"statement",0.0119110142423215
"41",23465,5,"station",0.0186989367740831
"42",24755,5,"television",0.0180517280706935
"43",19055,5,"program",0.0160687718371266
"44",14375,5,"market",0.0139577003091121
"45",635,5,"advertise",0.012576093326945
"46",3215,5,"broadcast",0.0116286548426279
"47",26345,5,"video",0.0105659611218286
"48",19655,5,"radio",0.00946638572535507
"49",51995,5,"medium",0.009176508695494
"50",112145,5,"digital",0.00832839191672079
"51",18966,6,"product",0.0768046464981492
"52",21756,6,"sale",0.0363733495250886
"53",14376,6,"market",0.0233283458959725
"54",6456,6,"customer",0.0229944739487712
"55",3366,6,"business",0.0180417455731066
"56",22266,6,"sell",0.015626074168784
"57",22206,6,"segment",0.0149168685150305
"58",11766,6,"include",0.0121826935460609
"59",33606,6,"manufacture",0.0117044245499408
"60",7476,6,"distribution",0.0112699184613616
"61",38617,7,"bank",0.0674439945814305
"62",28417,7,"capital",0.0185791961358187
"63",51487,7,"institution",0.0169545709984496
"64",9607,7,"federal",0.0154882536559855
"65",9907,7,"financial",0.015487029429442
"66",11347,7,"hold",0.0131087143215178
"67",307,7,"act",0.0129154650606841
"68",50107,7,"deposit",0.0122890946506518
"69",20317,7,"regulation",0.00956618527545508
"70",35947,7,"risk",0.00868413005087115
"71",102248,8,"vehicle",0.0163812086428479
"72",22448,8,"service",0.0140726575731967
"73",5858,8,"contract",0.0121122794888619
"74",8528,8,"equipment",0.00908795592657204
"75",6458,8,"customer",0.00907552818522128
"76",59888,8,"aircraft",0.00878399953679846
"77",11768,8,"include",0.00703849055950176
"78",16508,8,"operate",0.00702318481489082
"79",16538,8,"operation",0.00664479279534269
"80",25508,8,"truck",0.00642704568504438
"81",51579,9,"insurance",0.0425297052631151
"82",14049,9,"loss",0.0143615041347671
"83",3369,9,"business",0.0123645729623895
"84",35949,9,"risk",0.0111631858974323
"85",40659,9,"life",0.0102768800245613
"86",23409,9,"state",0.010046184296682
"87",41409,9,"policy",0.0100292957150095
"88",49239,9,"claim",0.00964643041961221
"89",52809,9,"premium",0.00928499179415985
"90",79629,9,"reinsurance",0.00905969581688329
"91",18970,10,"product",0.0429998646076906
"92",117610,10,"drug",0.0170626325778554
"93",14380,10,"market",0.0159811807227322
"94",34510,10,"patent",0.0125029372190593
"95",34600,10,"pharmaceutical",0.0114142463307468
"96",117940,10,"fda",0.0103721986975203
"97",33610,10,"manufacture",0.00927365675373363
"98",7060,10,"development",0.00922201334170236
"99",970,10,"agreement",0.00833668704556503
"100",21760,10,"sale",0.0070297057234498
"101",22511,11,"share",0.0295423325974107
"102",3371,11,"business",0.0290517999000677
"103",42371,11,"stock",0.0248271783868824
"104",971,11,"agreement",0.0217741550024432
"105",4751,11,"common",0.016924911535468
"106",43781,11,"combination",0.00853704359157854
"107",19511,11,"purchase",0.0080867196726117
"108",47501,11,"transaction",0.00769543102359736
"109",69731,11,"stockholder",0.00760432232344507
"110",7181,11,"director",0.00750785005303491
"111",21072,12,"result",0.0265236597812108
"112",14382,12,"market",0.0167184801625
"113",16542,12,"operation",0.0154716397809708
"114",10542,12,"future",0.0150947010504919
"115",3372,12,"business",0.0145344276423351
"116",9912,12,"financial",0.0130341443491147
"117",732,12,"affect",0.0121135212010624
"118",18492,12,"price",0.0102633879457166
"119",5322,12,"condition",0.010253019826602
"120",6042,12,"cost",0.0101576002160834
"121",18973,13,"product",0.0276263779000913
"122",33613,13,"manufacture",0.0151392147245849
"123",33673,13,"material",0.0138880063649109
"124",14383,13,"market",0.0107522045187526
"125",6463,13,"customer",0.0100375873750879
"126",9373,13,"facility",0.00806892757491349
"127",35143,13,"process",0.00783250443698475
"128",99973,13,"steel",0.00763233890763227
"129",11773,13,"include",0.00740543472888726
"130",21763,13,"sale",0.00708564048215261
"131",18974,14,"product",0.0181053460274401
"132",37364,14,"test",0.0154913502328703
"133",104294,14,"cell",0.0143576212271299
"134",75884,14,"technology",0.0129073371628103
"135",7064,14,"development",0.0124629792939652
"136",35744,14,"research",0.0113208574406304
"137",34514,14,"patent",0.011177658096157
"138",30164,14,"develop",0.00930362205087925
"139",13454,14,"license",0.00912586732699971
"140",116804,14,"clinical",0.00805366657638278
"141",22455,15,"service",0.0262248976096485
"142",5715,15,"consumer",0.0135019160367948
"143",6465,15,"customer",0.0126935130224544
