"","X","topic","term","beta"
"1",7481,1,"service",0.02572702951166
"2",2151,1,"customer",0.0175690760235581
"3",6321,1,"product",0.0143410711199623
"4",1121,1,"business",0.0124924143211895
"5",4791,1,"market",0.0123833971778359
"6",3921,1,"include",0.00828526301222682
"7",25211,1,"solution",0.00820509889861411
"8",25291,1,"technology",0.00813142602906132
"9",23151,1,"software",0.00750682257255968
"10",13601,1,"management",0.00734040192771025
"11",12332,2,"store",0.0141041122377868
"12",4792,2,"market",0.0081564621898575
"13",3922,2,"include",0.00797996462708466
"14",7252,2,"sale",0.00779974468108116
"15",5502,2,"operate",0.00706388829085259
"16",602,2,"approximately",0.00670098857834814
"17",20392,2,"brand",0.00639742931430431
"18",1278852,2,"’",0.00619720427947641
"19",5512,2,"operation",0.00582648973901988
"20",50362,2,"restaurant",0.00551076198242672
"21",12873,3,"bank",0.0310269029108432
"22",17313,3,"loan",0.0271398795035572
"23",9473,3,"capital",0.0110928057586794
"24",17193,3,"insurance",0.0104238407994745
"25",3303,3,"financial",0.0100263470685981
"26",3203,3,"federal",0.00944855168202341
"27",17163,3,"institution",0.00936368862470461
"28",6573,3,"rate",0.00879664126507947
"29",11983,3,"risk",0.00803142917989102
"30",3783,3,"hold",0.00732098136441543
"31",1124,4,"business",0.0145658214139395
"32",17224,4,"investment",0.0125564688055481
"33",7504,4,"share",0.0112655381337514
"34",6404,4,"property",0.00990666374238631
"35",14124,4,"stock",0.00925461209185417
"36",324,4,"agreement",0.00867033511431529
"37",1278864,4,"“",0.00859533044934501
"38",1278874,4,"”",0.00854589082794817
"39",3504,4,"fund",0.00822600269371296
"40",4094,4,"interest",0.00766524919726478
"41",6325,5,"product",0.0385066895955991
"42",4795,5,"market",0.0141593156827311
"43",7255,5,"sale",0.0129370000717038
"44",11205,5,"manufacture",0.00942988135664223
"45",2155,5,"customer",0.00939946698798572
"46",11225,5,"material",0.00870237943006299
"47",1125,5,"business",0.00859344550323499
"48",3925,5,"include",0.00791286802093504
"49",7425,5,"sell",0.00715916576472999
"50",7405,5,"segment",0.00659014834952357
"51",13236,6,"energy",0.0152638150193804
"52",13846,6,"power",0.0136275673667766
"53",13346,6,"gas",0.0113767031247202
"54",2016,6,"cost",0.00999540977815969
"55",7486,6,"service",0.00994300082465914
"56",2156,6,"customer",0.00965611195963964
"57",14266,6,"utility",0.00913136284682401
"58",3126,6,"facility",0.00861282475838758
"59",13206,6,"electric",0.00846175395744763
"60",6576,6,"rate",0.00840450810000576
"61",6327,7,"product",0.0280159523828596
"62",25297,7,"technology",0.0119806267357246
"63",4797,7,"market",0.011927268779371
"64",8147,7,"system",0.0118841568943843
"65",2157,7,"customer",0.0105623763617393
"66",11207,7,"manufacture",0.0098408961670145
"67",7257,7,"sale",0.00852463992785691
"68",2317,7,"design",0.00834258086376823
"69",3927,7,"include",0.00711603840432096
"70",2847,7,"equipment",0.00660819532970107
"71",6328,8,"product",0.019195365567319
"72",38938,8,"clinical",0.0105774065482636
"73",39208,8,"drug",0.0100980625665736
"74",39318,8,"fda",0.00942889476103079
"75",45428,8,"patient",0.00938196484100068
"76",11508,8,"patent",0.00841799146895965
"77",4798,8,"market",0.00790558237147579
"78",62978,8,"trial",0.00754552329994505
"79",2358,8,"development",0.00708775931617653
"80",598,8,"approval",0.00657765475706619
"81",13349,9,"gas",0.013684644204141
"82",11389,9,"oil",0.0128295137977387
"83",5519,9,"operation",0.00952843754499421
"84",6339,9,"production",0.00852966792376494
"85",11359,9,"natural",0.00762258639935109
"86",7809,9,"state",0.00694649511219688
"87",6779,9,"regulation",0.00690720356265388
"88",5509,9,"operate",0.00628639239114548
"89",3929,9,"include",0.00591272412851671
"90",2019,9,"cost",0.00566333062968712
"91",7490,10,"service",0.028810698431708
"92",6360,10,"program",0.0118424204152028
"93",7810,10,"state",0.00945786781800609
"94",6450,10,"provide",0.00815982962864284
"95",28990,10,"care",0.00751733084916063
"96",5240,10,"network",0.00741070684985114
"97",3930,10,"include",0.00712537864946848
"98",10850,10,"health",0.00699451651797395
"99",4800,10,"market",0.00699073116781259
"100",1150,10,"cable",0.00629002519762926
